course_id,course_name,category,level,skills,duration_hours,rating,instructor,platform,course_url
1,Python for Data Science and Machine Learning Bootcamp,Data Science,Beginner,"python pandas numpy matplotlib data analysis machine learning",25,4.7,Jose Portilla,Udemy,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/
2,Python for Machine Learning & Data Science Masterclass,Machine Learning,Intermediate,"python regression classification scikit-learn feature engineering",44,4.8,Jose Portilla,Udemy,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/
3,TensorFlow Developer Certificate: Zero to Mastery,Artificial Intelligence,Advanced,"python tensorflow neural networks deep learning computer vision",64,4.7,Daniel Bourke,Udemy,https://www.udemy.com/course/tensorflow-developer-certificate-machine-learning-zero-to-mastery/
4,SQL - MySQL for Data Analytics and Business Intelligence,Data Engineering,Beginner,"sql mysql databases joins querying analytics business intelligence",25,4.7,365 Careers,Udemy,https://www.udemy.com/course/sql-mysql-for-data-analytics-and-business-intelligence/
5,Microsoft Power BI Desktop for Business Intelligence,Data Analytics,Beginner,"power bi dax power query visualization dashboards business intelligence",18,4.7,Maven Analytics,Udemy,https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/
6,NLP - Natural Language Processing with Python,Artificial Intelligence,Advanced,"python nlp nltk spacy text classification machine learning",12,4.6,Jose Portilla,Udemy,https://www.udemy.com/course/nlp-natural-language-processing-with-python/
7,The Complete Full-Stack Web Development Bootcamp,Web Development,Intermediate,"html css javascript node react postgresql web development",62,4.7,Dr. Angela Yu,Udemy,https://www.udemy.com/course/the-complete-web-development-bootcamp/
8,Java Data Structures & Algorithms + LEETCODE Exercises,Software Engineering,Intermediate,"java arrays linked lists trees graphs algorithms leetcode",24,4.8,Scott Barrett,Udemy,https://www.udemy.com/course/data-structures-and-algorithms-java/
9,Ultimate AWS Certified Solutions Architect Associate,Cloud Computing,Intermediate,"aws cloud ec2 s3 iam lambda architecture certification",27,4.7,Stephane Maarek,Udemy,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/
10,Cybersecurity Essentials,Cybersecurity,Beginner,"cybersecurity threats risk management network security cryptography",8,4.5,Udemy Instructor,Udemy,https://www.udemy.com/course/cybersecurity-essentials/
11,Python for Computer Vision with OpenCV and Deep Learning,Artificial Intelligence,Advanced,"python opencv image processing computer vision deep learning yolo",14,4.6,Jose Portilla,Udemy,https://www.udemy.com/course/python-for-computer-vision-with-opencv-and-deep-learning/
12,Taming Big Data with Apache Spark and Python,Data Engineering,Advanced,"python spark pyspark big data rdd dataframe machine learning",7,4.6,Sundog Education,Udemy,https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/
13,Git Complete: The Definitive Guide to Git,Software Engineering,Beginner,"git github version control branching merging collaboration",7,4.6,Jason Taylor,Udemy,https://www.udemy.com/course/git-complete/
14,The Complete Android 14 & Kotlin Development Masterclass,Mobile Development,Intermediate,"kotlin android studio mobile application firebase",65,4.6,Denis Panjuta,Udemy,https://www.udemy.com/course/android-kotlin-developer/
15,Mastering Data Structures & Algorithms using C and C++,Software Engineering,Advanced,"c c++ algorithms arrays linked lists trees graphs recursion",58,4.7,Abdul Bari,Udemy,https://www.udemy.com/course/datastructurescncpp/
16,Complete Generative AI Course With LangChain and Hugging Face,Artificial Intelligence,Intermediate,"python generative ai llm langchain hugging face rag agents",54,4.6,Krish Naik,Udemy,https://www.udemy.com/course/complete-generative-ai-course-with-langchain-and-huggingface/
